"Gene_Name","logFC","PValue","FDR"
"AK7",0.221253434291969,0.000221580370656182,0.000496651277563801
"GTF2A2",0.438482232959942,0.000221677251069039,0.000496777089665929
"CCDC130",-0.5585625621604,0.000223037227695803,0.000499732924616712
"NCAPH",0.465895084977695,0.00022411283204408,0.000502050631284339
"DHX33",-0.360208981508231,0.000226111546398417,0.000506435028870679
"DOK4",-0.257408480927799,0.000226960414442785,0.000508242911916236
"SGK3",1.18317866601673,0.000227151878454783,0.00050857824614183
"PPP2R5A",-0.446607140346478,0.00022737780433653,0.000508990600930341
"PRR11",-0.360041626392972,0.000227972331130951,0.000510227774704869
"TTPAL",-0.621362768171172,0.000228805328376735,0.000511998120088249
"UTP14A",-0.685529740829367,0.000229107896708899,0.000512581091719249
"BANP",0.19823005782918,0.000229162005981292,0.000512608076131731
"LYPD5",-0.227669566234419,0.000229793771422354,0.000513926961550158
"ORC2",-0.444755016679533,0.00023060361441285,0.000515643555265417
"PBX2",-0.315514459083637,0.000232383140727573,0.000519527392006207
